年度,卷別,題號,主題分類,子分類,一句話題旨
105,A,1,營建法規-建築管理,建築法,建築法規定工程圖樣及說明書應載內容
105,A,2,地下工程與基礎,開挖安全設施,建築技術規則規定挖土鑽井沉箱之必要安全措施(次要:建築法規)
105,A,3,營建法規-採購契約,契約管理,營繕工程承攬契約物價指數調整工程款應載明事項
105,A,4,職業安全衛生,職災通報,職業安全衛生法規定8小時內應通報勞檢機構之職災類型
105,A,5,職業安全衛生,墜落災害防止,營造安全衛生設施標準墜落災害防止風險控制前5項順序
105,B,1,測量與放樣,座標與方位角計算,已知四點座標求BD方位角距離及E點座標(計算題)
105,B,2,地下工程與基礎,土壤力學與土壤分類,統一土壤分類法GC代表意義及其剪力強度主控因素
105,B,3,地下工程與基礎,邊坡保護,卵礫石層邊坡長期閒置三種斜坡保護方法優先順序與原因
105,B,4,地下工程與基礎,開挖擋土,基礎開挖塑性流隆起與擠壓隆起災害發生原因
105,B,5,地下工程與基礎,隧道工程,隧道鑽炸開挖輪進作業循環之作業項目及所需機具
105,C,1,施工計畫與管理,專案管理工具,分工結構圖(WBS)之4項功用
105,C,2,結構體工程,防水隔熱工程,屋頂防水層完成後軟底工法鋪設隔熱磚之施作順序
105,C,3,施工計畫與管理,進度管理,規劃施工預定進度應考量之因素
105,C,4,機電與設備,配電設施,配電場所設置施工之檢查項目
105,C,5,機電與設備,管線整合,柱與牆壁預埋預留口時水電消防空調應注意事項
105,D,1,結構體工程,模板工程,梁柱版牆樓梯模板組立與拆除時機及理由
105,D,2,假設工程與施工機具,起重吊掛,起重機吊掛作業應注意事項
105,D,3,地下工程與基礎,基樁工程,全套管基樁施工法取土設備搖管器及附屬機具設備
105,D,4,結構體工程,鋼結構銲接,鋼結構電銲姿勢分類(平橫立仰)
105,D,5,結構體工程,混凝土材料,綠混凝土應具備之性質與條件
106,A,1,營建法規-採購契約,特殊採購,投標廠商資格與特殊或巨額採購認定標準之特殊採購情形
106,A,2,地下工程與基礎,地質調查,建築技術規則規定應辦理地下探勘之建築物及調查點數量
106,A,3,營建法規-採購契約,履約爭議,採購契約要項履約爭議未達成協議之處理方式
106,A,4,營建法規-採購契約,驗收制度,公共工程驗收主驗會驗協驗監驗人員之權責
106,A,5,職業安全衛生,交通安全,職業安全衛生設施規則道路作業交通號誌標示柵欄設置
106,B,1,測量與放樣,三角高程計算,電子測距經緯儀三角高程測量求樁頂高程及水平距離(計算題)
106,B,2,土方工程,夯實試驗,土方工程工地現場夯實試驗類型
106,B,3,土方工程,道路土方作業,道路工程土方開挖回填至設計高程之主要作業項目
106,B,4,地下工程與基礎,開挖監測,建築物基礎開挖時之安全監測項目5項
106,B,5,地下工程與基礎,沉箱基礎,沉箱施工作業中應檢查之重點
106,C,1,結構體工程,混凝土品質檢測,施工中建築物混凝土氯離子含量檢測人員及會同檢測人員資格
106,C,2,施工計畫與管理,施工管理總論,施工管理作業程序至少10項
106,C,3,環保與污染防治,環保專章,施工計畫環境保護執行項目至少5項
106,C,4,職業安全衛生,緊急應變,施工計畫緊急應變及防災計畫應包含內容
106,C,5,機電與設備,管線整合,地下室結構體管路配管可能種類
106,D,1,工程圖說判讀,道路工程繪圖,繪製柔性路面構造剖面圖(含粗細級配瀝青混凝土)
106,D,2,職業安全衛生,機械作業危害,環境地形地質水文天候引致施工機械危害狀況
106,D,3,土方工程,施工機具,土方工程開挖及填土作業使用機具7種以上
106,D,4,土方工程,特殊回填材料,控制性低強度材料CLSM構想用途成分及性質需求(次要:結構體工程材料)
106,D,5,結構體工程,鋼結構製造,鋼結構工廠製造試裝作業之目的需求及確認內容
107,A,1,營建法規-採購契約,不良廠商制度,政府採購法應通知廠商並刊登採購公報之情形5項
107,A,2,營建法規-建築管理,施工勘驗,建築工程必須勘驗部分申報表按設計圖說施工查核監督項目
107,A,3,營建法規-採購契約,履約變更,契約標的得以其他規格功能效益相同或較優者代之之情形
107,A,4,營建法規-採購契約,估驗計價,機關得暫停給付估驗計價款至情形消滅為止之情形
107,A,5,職業安全衛生,局限空間作業,局限空間作業危害防止計畫應包含事項
107,B,1,測量與放樣,三角函數計算,兩直角三角形應用求AE BE長度(計算題)
107,B,2,土方工程,滾壓夯實,填土滾壓夯實作業施工管理重點
107,B,3,土方工程,剩餘土石方處理,營建剩餘土石方定義及土資場應有設施
107,B,4,地下工程與基礎,連續壁施工,連續壁溝槽底部淤泥清除方法及穩定液主要功能
107,B,5,地下工程與基礎,隧道支撐檢查,隧道坑道支撐每日或四級以上地震後應確認事項
107,C,1,施工計畫與管理,品質管理,無運轉類機電設備之工程整體品質計畫應包括內容
107,C,2,施工計畫與管理,品質管理工具,新QC七大手法列舉
107,C,3,施工計畫與管理,交通維持,施工中交通維持計畫之主要項目
107,C,4,結構體工程,混凝土品質管理,預拌混凝土出貨單應填註資料10項以上
107,C,5,機電與設備,消防設備,各類場所消防安全設備設置標準第43條自動撒水設備裝置
107,D,1,工程圖說判讀,排水設施繪圖,依條件繪製道路U型溝剖面圖並標註尺寸
107,D,2,假設工程與施工機具,技術發展趨勢,施工技術與機具發展趨勢
107,D,3,職業安全衛生,汛期防災,汛期工地防災檢查臨時構造物大型機械開挖填方項目
107,D,4,結構體工程,混凝土材料,特殊混凝土定義及應用(預壘無坍度噴凝土無收縮)
107,D,5,結構體工程,鋼結構品管,鋼結構品質管制材料尺寸電銲作業內容
108,A,1,營建法規-建築管理,拆除執照,建築法規定免請領拆除執照之情況
108,A,2,營建法規-採購契約,招標方式,政府採購法招標方式三種(公開選擇性限制性)
108,A,3,營建法規-營造業管理,專任工程人員,營造業法專任工程人員應負責辦理工作
108,A,4,施工計畫與管理,品質查核,施工品質查核成績丙等機關應有處置措施
108,A,5,職業安全衛生,出入口管理,營造安全衛生設施標準人員及車輛機械出入口設置規定
108,B,1,測量與放樣,視距測量計算,經緯儀視距測量求樁頂高程及水平距離(計算題)
108,B,2,土方工程,滾壓夯實,土方填築滾壓夯實應注意事項
108,B,3,地下工程與基礎,地層改良,建築物基礎地層改良方法評估選擇考量因素
108,B,4,地下工程與基礎,灌漿工法,地盤改良灌漿工法原理與目的
108,B,5,地下工程與基礎,開挖擋土,建築物基礎擋土式開挖穩定性檢核項目5項
108,C,1,施工計畫與管理,品質管理,施工品質管理標準訂定之依據
108,C,2,施工計畫與管理,施工計畫書,公共工程整體施工計畫書主要內容
108,C,3,施工計畫與管理,進度管理,工程進度可能發生落後之原因5項
108,C,4,機電與設備,接地系統,接地系統施工應符合之規定5項以上
108,C,5,施工計畫與管理,統計品質管制,管制圖上下管制界限範圍及混凝土試驗異常原因(次要:結構體工程混凝土)
108,D,1,工程圖說判讀,鋼筋補強繪圖,梁穿孔鋼筋補強詳圖繪製(次要:結構體工程鋼筋)
108,D,2,假設工程與施工機具,機具選用,營建工程選擇機具設備考量條件
